candidate_id,rank,score,reasoning
CAND_0046064,12,83.0531,"Ranked #12 [Utility Score: 83.0531]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 8.9 YOE with a proven product company footprint, reinforced by a pristine 80% platform interview completion velocity."
CAND_0061257,13,83.0265,"Ranked #13 [Utility Score: 83.0265]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 8.0 YOE with a proven product company footprint, reinforced by a pristine 80% platform interview completion velocity."
CAND_0086022,14,82.8874,"Ranked #14 [Utility Score: 82.8874]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.3 YOE with a proven product company footprint, reinforced by a pristine 68% platform interview completion velocity."
CAND_0002025,15,82.5541,"Ranked #15 [Utility Score: 82.5541]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.9 YOE with a proven product company footprint, reinforced by a pristine 81% platform interview completion velocity."
CAND_0064326,16,82.3357,"Ranked #16 [Utility Score: 82.3357]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.6 YOE with a proven product company footprint, reinforced by a pristine 90% platform interview completion velocity."
CAND_0030641,17,81.7489,"Ranked #17 [Utility Score: 81.7489]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.0 YOE with a proven product company footprint, reinforced by a pristine 96% platform interview completion velocity."
CAND_0046525,18,81.7276,"Ranked #18 [Utility Score: 81.7276]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.1 YOE with a proven product company footprint, reinforced by a pristine 81% platform interview completion velocity."
CAND_0025640,19,80.8696,"Ranked #19 [Utility Score: 80.8696]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.6 YOE with a proven product company footprint, reinforced by a pristine 98% platform interview completion velocity."
CAND_0077337,20,80.6702,"Ranked #20 [Utility Score: 80.6702]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.0 YOE with a proven product company footprint, reinforced by a pristine 73% platform interview completion velocity."
CAND_0078002,21,80.6049,"Ranked #21 [Utility Score: 80.6049]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.3 YOE with a proven product company footprint, reinforced by a pristine 86% platform interview completion velocity."
CAND_0080766,22,80.152,"Ranked #22 [Utility Score: 80.152]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 8.8 YOE with a proven product company footprint, reinforced by a pristine 88% platform interview completion velocity."
CAND_0050454,23,79.6356,"Ranked #23 [Utility Score: 79.6356]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.8 YOE with a proven product company footprint, reinforced by a pristine 72% platform interview completion velocity."
CAND_0060054,24,79.4702,"Ranked #24 [Utility Score: 79.4702]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.4 YOE with a proven product company footprint, reinforced by a pristine 78% platform interview completion velocity."
CAND_0062247,25,79.4505,"Ranked #25 [Utility Score: 79.4505]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.3 YOE with a proven product company footprint, reinforced by a pristine 84% platform interview completion velocity."
CAND_0065878,26,79.2902,"Ranked #26 [Utility Score: 79.2902]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.8 YOE with a proven product company footprint, reinforced by a pristine 61% platform interview completion velocity."
CAND_0098454,27,79.1844,"Ranked #27 [Utility Score: 79.1844]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.6 YOE with a proven product company footprint, reinforced by a pristine 97% platform interview completion velocity."
CAND_0071974,28,79.1187,"Ranked #28 [Utility Score: 79.1187]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.8 YOE with a proven product company footprint, reinforced by a pristine 85% platform interview completion velocity."
CAND_0068811,29,79.1059,"Ranked #29 [Utility Score: 79.1059]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 8.0 YOE with a proven product company footprint, reinforced by a pristine 77% platform interview completion velocity."
CAND_0008295,30,79.0992,"Ranked #30 [Utility Score: 79.0992]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 90% platform interview completion velocity."
CAND_0054276,31,79.0551,"Ranked #31 [Utility Score: 79.0551]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.9 YOE with a proven product company footprint, reinforced by a pristine 88% platform interview completion velocity."
CAND_0037160,32,78.5324,"Ranked #32 [Utility Score: 78.5324]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.0 YOE with a proven product company footprint, reinforced by a pristine 100% platform interview completion velocity."
CAND_0041610,33,78.2727,"Ranked #33 [Utility Score: 78.2727]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.7 YOE with a proven product company footprint, reinforced by a pristine 80% platform interview completion velocity."
CAND_0007009,34,78.1209,"Ranked #34 [Utility Score: 78.1209]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.9 YOE with a proven product company footprint, reinforced by a pristine 87% platform interview completion velocity."
CAND_0088025,35,77.5633,"Ranked #35 [Utility Score: 77.5633]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 8.6 YOE with a proven product company footprint, reinforced by a pristine 95% platform interview completion velocity."
CAND_0037980,36,77.236,"Ranked #36 [Utility Score: 77.236]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 9.0 YOE with a proven product company footprint, reinforced by a pristine 89% platform interview completion velocity."
CAND_0015528,37,77.15,"Ranked #37 [Utility Score: 77.15]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.4 YOE with a proven product company footprint, reinforced by a pristine 72% platform interview completion velocity."
CAND_0036655,38,77.1323,"Ranked #38 [Utility Score: 77.1323]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.6 YOE with a proven product company footprint, reinforced by a pristine 77% platform interview completion velocity."
CAND_0072660,39,77.0421,"Ranked #39 [Utility Score: 77.0421]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.1 YOE with a proven product company footprint, reinforced by a pristine 88% platform interview completion velocity."
CAND_0074123,40,77.0148,"Ranked #40 [Utility Score: 77.0148]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.9 YOE with a proven product company footprint, reinforced by a pristine 86% platform interview completion velocity."
CAND_0033179,41,76.9704,"Ranked #41 [Utility Score: 76.9704]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.9 YOE with a proven product company footprint, reinforced by a pristine 66% platform interview completion velocity."
CAND_0069638,42,76.846,"Ranked #42 [Utility Score: 76.846]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.2 YOE with a proven product company footprint, reinforced by a pristine 62% platform interview completion velocity."
CAND_0006567,43,76.699,"Ranked #43 [Utility Score: 76.699]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.9 YOE with a proven product company footprint, reinforced by a pristine 93% platform interview completion velocity."
CAND_0083879,44,76.6554,"Ranked #44 [Utility Score: 76.6554]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.1 YOE with a proven product company footprint, reinforced by a pristine 83% platform interview completion velocity."
CAND_0036184,45,76.4626,"Ranked #45 [Utility Score: 76.4626]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.0 YOE with a proven product company footprint, reinforced by a pristine 62% platform interview completion velocity."
CAND_0063138,46,76.4535,"Ranked #46 [Utility Score: 76.4535]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.2 YOE with a proven product company footprint, reinforced by a pristine 93% platform interview completion velocity."
CAND_0040117,47,76.388,"Ranked #47 [Utility Score: 76.388]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 72% platform interview completion velocity."
CAND_0043676,48,76.3128,"Ranked #48 [Utility Score: 76.3128]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.1 YOE with a proven product company footprint, reinforced by a pristine 94% platform interview completion velocity."
CAND_0073675,49,76.2919,"Ranked #49 [Utility Score: 76.2919]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.4 YOE with a proven product company footprint, reinforced by a pristine 66% platform interview completion velocity."
CAND_0084005,50,76.2795,"Ranked #50 [Utility Score: 76.2795]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.1 YOE with a proven product company footprint, reinforced by a pristine 71% platform interview completion velocity."
CAND_0053591,51,75.9872,"Ranked #51 [Utility Score: 75.9872]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.3 YOE with a proven product company footprint, reinforced by a pristine 97% platform interview completion velocity."
CAND_0043228,52,75.9458,"Ranked #52 [Utility Score: 75.9458]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.8 YOE with a proven product company footprint, reinforced by a pristine 94% platform interview completion velocity."
CAND_0049540,53,75.9118,"Ranked #53 [Utility Score: 75.9118]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.8 YOE with a proven product company footprint, reinforced by a pristine 89% platform interview completion velocity."
CAND_0055951,54,75.8779,"Ranked #54 [Utility Score: 75.8779]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.2 YOE with a proven product company footprint, reinforced by a pristine 92% platform interview completion velocity."
CAND_0061225,55,75.8635,"Ranked #55 [Utility Score: 75.8635]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.0 YOE with a proven product company footprint, reinforced by a pristine 80% platform interview completion velocity."
CAND_0013702,56,75.8283,"Ranked #56 [Utility Score: 75.8283]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.8 YOE with a proven product company footprint, reinforced by a pristine 65% platform interview completion velocity."
CAND_0076482,57,75.82,"Ranked #57 [Utility Score: 75.82]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.6 YOE with a proven product company footprint, reinforced by a pristine 94% platform interview completion velocity."
CAND_0095741,58,75.7373,"Ranked #58 [Utility Score: 75.7373]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 77% platform interview completion velocity."
CAND_0005260,59,75.717,"Ranked #59 [Utility Score: 75.717]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.2 YOE with a proven product company footprint, reinforced by a pristine 73% platform interview completion velocity."
CAND_0037566,60,75.6823,"Ranked #60 [Utility Score: 75.6823]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.9 YOE with a proven product company footprint, reinforced by a pristine 84% platform interview completion velocity."
CAND_0070332,61,75.5667,"Ranked #61 [Utility Score: 75.5667]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.5 YOE with a proven product company footprint, reinforced by a pristine 75% platform interview completion velocity."
CAND_0013440,62,75.4483,"Ranked #62 [Utility Score: 75.4483]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.2 YOE with a proven product company footprint, reinforced by a pristine 97% platform interview completion velocity."
CAND_0047302,63,75.4459,"Ranked #63 [Utility Score: 75.4459]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.6 YOE with a proven product company footprint, reinforced by a pristine 65% platform interview completion velocity."
CAND_0058407,64,75.211,"Ranked #64 [Utility Score: 75.211]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.7 YOE with a proven product company footprint, reinforced by a pristine 94% platform interview completion velocity."
CAND_0066360,65,75.2032,"Ranked #65 [Utility Score: 75.2032]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.5 YOE with a proven product company footprint, reinforced by a pristine 68% platform interview completion velocity."
CAND_0018888,66,75.0202,"Ranked #66 [Utility Score: 75.0202]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 97% platform interview completion velocity."
CAND_0040443,67,74.9601,"Ranked #67 [Utility Score: 74.9601]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.2 YOE with a proven product company footprint, reinforced by a pristine 75% platform interview completion velocity."
CAND_0026942,68,74.9247,"Ranked #68 [Utility Score: 74.9247]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.0 YOE with a proven product company footprint, reinforced by a pristine 60% platform interview completion velocity."
CAND_0091072,69,74.8819,"Ranked #69 [Utility Score: 74.8819]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.9 YOE with a proven product company footprint, reinforced by a pristine 79% platform interview completion velocity."
CAND_0087630,70,74.8537,"Ranked #70 [Utility Score: 74.8537]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.2 YOE with a proven product company footprint, reinforced by a pristine 100% platform interview completion velocity."
CAND_0027691,71,74.7157,"Ranked #71 [Utility Score: 74.7157]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 63% platform interview completion velocity."
CAND_0093645,72,74.7016,"Ranked #72 [Utility Score: 74.7016]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.5 YOE with a proven product company footprint, reinforced by a pristine 79% platform interview completion velocity."
CAND_0022570,73,74.6994,"Ranked #73 [Utility Score: 74.6994]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.0 YOE with a proven product company footprint, reinforced by a pristine 67% platform interview completion velocity."
CAND_0005558,74,74.6454,"Ranked #74 [Utility Score: 74.6454]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.6 YOE with a proven product company footprint, reinforced by a pristine 69% platform interview completion velocity."
CAND_0037672,75,74.6295,"Ranked #75 [Utility Score: 74.6295]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 92% platform interview completion velocity."
CAND_0040955,76,74.5824,"Ranked #76 [Utility Score: 74.5824]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.6 YOE with a proven product company footprint, reinforced by a pristine 64% platform interview completion velocity."
CAND_0088335,77,74.5768,"Ranked #77 [Utility Score: 74.5768]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.4 YOE with a proven product company footprint, reinforced by a pristine 63% platform interview completion velocity."
CAND_0052195,78,74.5313,"Ranked #78 [Utility Score: 74.5313]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.3 YOE with a proven product company footprint, reinforced by a pristine 61% platform interview completion velocity."
CAND_0093193,79,74.5043,"Ranked #79 [Utility Score: 74.5043]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.9 YOE with a proven product company footprint, reinforced by a pristine 86% platform interview completion velocity."
CAND_0005212,80,74.4782,"Ranked #80 [Utility Score: 74.4782]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.4 YOE with a proven product company footprint, reinforced by a pristine 72% platform interview completion velocity."
CAND_0018549,81,74.4376,"Ranked #81 [Utility Score: 74.4376]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.8 YOE with a proven product company footprint, reinforced by a pristine 67% platform interview completion velocity."
CAND_0052328,82,74.41,"Ranked #82 [Utility Score: 74.41]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 95% platform interview completion velocity."
CAND_0009024,83,74.389,"Ranked #83 [Utility Score: 74.389]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.2 YOE with a proven product company footprint, reinforced by a pristine 60% platform interview completion velocity."
CAND_0034832,84,74.3628,"Ranked #84 [Utility Score: 74.3628]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.4 YOE with a proven product company footprint, reinforced by a pristine 94% platform interview completion velocity."
CAND_0018555,85,74.2564,"Ranked #85 [Utility Score: 74.2564]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.6 YOE with a proven product company footprint, reinforced by a pristine 78% platform interview completion velocity."
CAND_0024947,86,74.2433,"Ranked #86 [Utility Score: 74.2433]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.1 YOE with a proven product company footprint, reinforced by a pristine 86% platform interview completion velocity."
CAND_0030556,87,74.1864,"Ranked #87 [Utility Score: 74.1864]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.8 YOE with a proven product company footprint, reinforced by a pristine 85% platform interview completion velocity."
CAND_0064256,88,74.1591,"Ranked #88 [Utility Score: 74.1591]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.4 YOE with a proven product company footprint, reinforced by a pristine 67% platform interview completion velocity."
CAND_0024878,89,74.0956,"Ranked #89 [Utility Score: 74.0956]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 5.7 YOE with a proven product company footprint, reinforced by a pristine 100% platform interview completion velocity."
CAND_0035321,90,74.0287,"Ranked #90 [Utility Score: 74.0287]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.2 YOE with a proven product company footprint, reinforced by a pristine 80% platform interview completion velocity."
CAND_0058688,91,74.0042,"Ranked #91 [Utility Score: 74.0042]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.7 YOE with a proven product company footprint, reinforced by a pristine 96% platform interview completion velocity."
CAND_0017075,92,73.7973,"Ranked #92 [Utility Score: 73.7973]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.1 YOE with a proven product company footprint, reinforced by a pristine 98% platform interview completion velocity."
CAND_0030953,93,73.7365,"Ranked #93 [Utility Score: 73.7365]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.8 YOE with a proven product company footprint, reinforced by a pristine 62% platform interview completion velocity."
CAND_0057563,94,73.613,"Ranked #94 [Utility Score: 73.613]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.8 YOE with a proven product company footprint, reinforced by a pristine 81% platform interview completion velocity."
CAND_0013112,95,73.5982,"Ranked #95 [Utility Score: 73.5982]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 7.0 YOE with a proven product company footprint, reinforced by a pristine 80% platform interview completion velocity."
CAND_0007962,96,73.5794,"Ranked #96 [Utility Score: 73.5794]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.4 YOE with a proven product company footprint, reinforced by a pristine 86% platform interview completion velocity."
CAND_0031829,97,73.5353,"Ranked #97 [Utility Score: 73.5353]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.5 YOE with a proven product company footprint, reinforced by a pristine 96% platform interview completion velocity."
CAND_0012888,98,73.3366,"Ranked #98 [Utility Score: 73.3366]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.4 YOE with a proven product company footprint, reinforced by a pristine 61% platform interview completion velocity."
CAND_0049703,99,73.3252,"Ranked #99 [Utility Score: 73.3252]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.7 YOE with a proven product company footprint, reinforced by a pristine 80% platform interview completion velocity."
CAND_0015493,100,73.2988,"Ranked #100 [Utility Score: 73.2988]. Exceptional vector space alignment against target engineering benchmarks. Candidate brings 6.4 YOE with a proven product company footprint, reinforced by a pristine 61% platform interview completion velocity."
